2017-1-2,59589
2017-1-3,61814
2017-1-4,61589
2017-1-5,62071
2017-1-6,61665
2017-1-9,61700
2017-1-10,62132
2017-1-11,62446
2017-1-12,63954
2017-1-13,63652
2017-1-16,63831
2017-1-17,64354
2017-1-18,64150
2017-1-19,63951
2017-1-20,64521
2017-1-23,65749
2017-1-24,65840
2017-1-26,66191
2017-1-27,66034
2017-1-30,64302
2017-1-31,64671
2017-2-1,64836
2017-2-2,64578
2017-2-3,64954
2017-2-6,63993
2017-2-7,64199
2017-2-8,64835
2017-2-9,64965
2017-2-10,66125
2017-2-13,66968
2017-2-14,66713
2017-2-15,67976
2017-2-16,67814
2017-2-17,67748
2017-2-20,68533
2017-2-21,69052
2017-2-22,68590
2017-2-23,67461
2017-2-24,66662
2017-3-1,66989
2017-3-2,65855
2017-3-3,66786
2017-3-6,66341
2017-3-7,65742
2017-3-8,64718
2017-3-9,64585
2017-3-10,64675
2017-3-13,65534
2017-3-14,64699
2017-3-15,66235
2017-3-16,65783
2017-3-17,64210
2017-3-20,64884
2017-3-21,62980
2017-3-22,63521
2017-3-23,63531
2017-3-24,63854
2017-3-27,64308
2017-3-28,64640
2017-3-29,65528
2017-3-30,65266
2017-3-31,64984
2017-4-3,65211
2017-4-4,65769
2017-4-5,64775
2017-4-6,64223
2017-4-7,64593
2017-4-10,64650
2017-4-11,64360
2017-4-12,63892
2017-4-13,62826
2017-4-17,64335
2017-4-18,64159
2017-4-19,63407
2017-4-20,63761
2017-4-24,64389
2017-4-25,65148
2017-4-26,64862
2017-4-27,64677
2017-4-28,65403
2017-5-2,66722
2017-5-3,66094
2017-5-4,64863
2017-5-5,65710
2017-5-8,65526
2017-5-9,66278
2017-5-10,67350
2017-5-11,67538
2017-5-12,68222
2017-5-15,68474
2017-5-16,68684
2017-5-17,67540
2017-5-18,61597
2017-5-19,62639
2017-5-22,61673
2017-5-23,62662
2017-5-24,63257
2017-5-25,63227
2017-5-26,64085
2017-5-29,63761
2017-5-30,63962
2017-5-31,62711
2017-6-1,62289
2017-6-2,62511
2017-6-5,62450
2017-6-6,62955
2017-6-7,63171
2017-6-8,62756
2017-6-9,62211
2017-6-12,61700
2017-6-13,61829
2017-6-14,61923
2017-6-16,61626
2017-6-19,62014
2017-6-20,60766
2017-6-21,60762
2017-6-22,61272
2017-6-23,61087
2017-6-26,62188
2017-6-27,61675
2017-6-28,62018
2017-6-29,62239
2017-6-30,62900
2017-7-3,63280
2017-7-4,63232
2017-7-5,63154
2017-7-6,62470
2017-7-7,62322
2017-7-10,63025
2017-7-11,63832
2017-7-12,64836
2017-7-13,65178
2017-7-14,65436
2017-7-17,65212
2017-7-18,65338
2017-7-19,65180
2017-7-20,64938
2017-7-21,64684
2017-7-24,65100
2017-7-25,65668
2017-7-26,65011
2017-7-27,65277
2017-7-28,65497
2017-7-31,65920
2017-8-1,66516
2017-8-2,67136
2017-8-3,66777
2017-8-4,66898
2017-8-7,67940
2017-8-8,67899
2017-8-9,67671
2017-8-10,66992
2017-8-11,67359
2017-8-14,68285
2017-8-15,68355
2017-8-16,68594
2017-8-17,67977
2017-8-18,68715
2017-8-21,68635
2017-8-22,70011
2017-8-23,70478
2017-8-24,71133
2017-8-25,71074
2017-8-28,71017
2017-8-29,71330
2017-8-30,70886
2017-8-31,70835
2017-9-1,71923
2017-9-4,72129
2017-9-5,72151
2017-9-6,73412
2017-9-8,73079
2017-9-11,74319
2017-9-12,74539
2017-9-13,74788
2017-9-14,74657
2017-9-15,75757
2017-9-18,75990
2017-9-19,75974
2017-9-20,76004
2017-9-21,75604
2017-9-22,75390
2017-9-25,74443
2017-9-26,74319
2017-9-27,73797
2017-9-28,73567
2017-9-29,74294
2017-10-2,74360
2017-10-3,76763
2017-10-4,76591
2017-10-5,76618
2017-10-6,76055
2017-10-9,75727
2017-10-10,76897
2017-10-11,76660
2017-10-13,76990
2017-10-16,76892
2017-10-17,76201
2017-10-18,76591
2017-10-19,76283
2017-10-20,76391
2017-10-23,75413
2017-10-24,76350
2017-10-25,76671
2017-10-26,75896
2017-10-27,75976
2017-10-30,74800
2017-10-31,74308
2017-11-1,73824
2017-11-3,73915
2017-11-6,74311
2017-11-7,72415
2017-11-8,74363
2017-11-9,72931
2017-11-10,72166
2017-11-13,72475
2017-11-14,70827
2017-11-15,70827
2017-11-16,72512
2017-11-17,73437
2017-11-21,74595
2017-11-22,74519
2017-11-23,74487
2017-11-24,74157
2017-11-27,74059
2017-11-28,74140
2017-11-29,72700
2017-11-30,71971
2017-12-1,72264
